,y,predicted
25656,0.0,0.0
26372,0.0,0.0
13761,0.0,0.0
22539,0.0,0.0
20299,0.0,0.0
28819,0.0,0.0
17298,0.0,0.0
15935,0.0,0.0
15313,0.0,0.0
34968,0.0,0.0
15646,0.0,0.0
17829,1.0,1.0
24501,0.0,0.0
37713,0.0,0.0
862,0.0,0.0
10793,0.0,0.0
18774,0.0,0.0
14887,0.0,0.0
14651,0.0,0.0
1699,0.0,0.0
20657,1.0,0.0
6338,0.0,0.0
29117,0.0,0.0
21462,0.0,0.0
3734,1.0,0.0
26406,0.0,0.0
1727,0.0,0.0
4949,0.0,0.0
31764,0.0,0.0
21558,0.0,0.0
39439,0.0,0.0
17935,0.0,0.0
14369,0.0,0.0
25826,0.0,0.0
31690,0.0,0.0
7542,0.0,0.0
38698,0.0,0.0
154,0.0,0.0
33324,0.0,0.0
32130,0.0,0.0
10220,0.0,0.0
22530,0.0,0.0
11942,0.0,0.0
34251,0.0,0.0
39032,0.0,0.0
27056,0.0,0.0
33610,0.0,0.0
39288,0.0,0.0
829,0.0,0.0
13717,0.0,0.0
2491,0.0,0.0
16261,0.0,0.0
15153,0.0,0.0
5722,0.0,0.0
16546,0.0,0.0
22015,0.0,0.0
11539,0.0,0.0
30866,0.0,0.0
29886,0.0,0.0
9644,0.0,0.0
33396,0.0,0.0
16592,0.0,0.0
8574,0.0,0.0
27211,0.0,0.0
32876,0.0,0.0
322,0.0,0.0
26402,0.0,0.0
17237,0.0,0.0
2516,0.0,0.0
36292,0.0,0.0
4476,0.0,0.0
25457,0.0,0.0
38478,0.0,0.0
16444,0.0,0.0
39309,0.0,0.0
39208,0.0,0.0
5572,0.0,0.0
12995,0.0,0.0
35739,0.0,0.0
1792,0.0,0.0
23124,0.0,0.0
31705,0.0,0.0
37829,0.0,0.0
12099,0.0,0.0
30460,0.0,0.0
28468,0.0,0.0
18470,0.0,0.0
32837,0.0,0.0
37416,0.0,0.0
29415,0.0,0.0
13004,0.0,0.0
15768,0.0,0.0
12240,0.0,1.0
21253,0.0,0.0
27158,0.0,0.0
19937,0.0,0.0
3110,0.0,0.0
35973,1.0,1.0
2077,0.0,0.0
18455,0.0,0.0
36676,0.0,0.0
18448,0.0,0.0
21639,0.0,0.0
21691,0.0,0.0
31259,0.0,0.0
25714,0.0,0.0
11549,0.0,0.0
7040,0.0,0.0
32652,0.0,0.0
21625,0.0,0.0
29337,0.0,0.0
35431,0.0,0.0
34273,0.0,0.0
10030,0.0,0.0
20942,0.0,0.0
9393,0.0,0.0
39582,0.0,0.0
27128,1.0,1.0
30064,1.0,0.0
2924,0.0,0.0
29449,0.0,0.0
38073,0.0,0.0
5617,0.0,0.0
23235,0.0,0.0
31036,0.0,0.0
12745,0.0,0.0
15793,0.0,0.0
34796,0.0,0.0
7292,0.0,0.0
15030,0.0,0.0
33600,0.0,0.0
1831,0.0,0.0
3336,0.0,0.0
35186,0.0,0.0
36422,0.0,1.0
12893,0.0,0.0
2503,0.0,0.0
12830,0.0,0.0
33718,0.0,0.0
17491,0.0,0.0
17069,0.0,0.0
8724,0.0,0.0
35144,0.0,0.0
26726,0.0,0.0
19186,0.0,0.0
22694,0.0,0.0
6378,0.0,0.0
24175,0.0,0.0
11443,0.0,0.0
9025,0.0,0.0
30788,0.0,0.0
35698,1.0,0.0
16010,0.0,0.0
3814,1.0,0.0
34787,0.0,0.0
28214,1.0,0.0
2595,0.0,0.0
17177,0.0,0.0
22707,1.0,1.0
12282,0.0,0.0
35891,0.0,0.0
32677,0.0,0.0
1787,0.0,0.0
18798,0.0,0.0
29896,0.0,0.0
4340,0.0,0.0
9742,0.0,0.0
38743,0.0,0.0
33005,0.0,0.0
22173,0.0,0.0
15688,0.0,0.0
35066,0.0,0.0
20076,0.0,0.0
23312,0.0,0.0
271,0.0,0.0
40373,0.0,0.0
19974,1.0,1.0
16932,0.0,0.0
7282,0.0,0.0
27488,1.0,1.0
35538,0.0,0.0
9282,0.0,0.0
14944,0.0,0.0
37140,0.0,0.0
4572,0.0,0.0
1578,0.0,0.0
16520,0.0,0.0
19043,0.0,0.0
2464,0.0,0.0
29738,0.0,0.0
29144,0.0,0.0
27417,0.0,0.0
8047,0.0,0.0
33128,0.0,0.0
1418,0.0,0.0
38106,1.0,1.0
35483,0.0,0.0
35982,0.0,0.0
16791,0.0,0.0
11987,0.0,0.0
8327,1.0,0.0
30443,0.0,0.0
23136,0.0,0.0
2495,0.0,0.0
1448,0.0,0.0
2674,0.0,0.0
17666,0.0,0.0
1369,0.0,0.0
29002,0.0,0.0
1613,0.0,0.0
40891,0.0,0.0
39090,0.0,0.0
23308,0.0,0.0
3622,0.0,0.0
23162,0.0,0.0
13035,0.0,0.0
4018,0.0,0.0
25970,0.0,0.0
33603,0.0,0.0
31035,0.0,0.0
39327,0.0,0.0
10025,0.0,0.0
7103,0.0,0.0
38304,0.0,0.0
17513,0.0,0.0
5805,0.0,0.0
25884,0.0,0.0
13904,0.0,0.0
33674,0.0,0.0
28243,0.0,0.0
794,0.0,0.0
7996,0.0,0.0
13136,0.0,1.0
39619,0.0,0.0
21270,0.0,0.0
38038,0.0,0.0
8077,0.0,0.0
20889,0.0,0.0
31805,0.0,0.0
1897,0.0,0.0
8566,0.0,0.0
13563,0.0,0.0
12429,0.0,0.0
23743,0.0,0.0
29728,0.0,0.0
34799,0.0,0.0
4692,0.0,0.0
39978,0.0,0.0
21531,0.0,0.0
26970,0.0,0.0
5221,0.0,0.0
26927,0.0,0.0
34957,0.0,0.0
23341,0.0,0.0
10483,0.0,0.0
22808,0.0,0.0
24629,0.0,0.0
5047,0.0,0.0
22495,0.0,0.0
35343,0.0,0.0
35939,0.0,0.0
16191,0.0,0.0
22227,1.0,0.0
6226,0.0,0.0
29699,0.0,0.0
36245,0.0,0.0
41005,0.0,0.0
5361,0.0,0.0
28078,0.0,0.0
24744,0.0,0.0
35082,0.0,0.0
23444,0.0,0.0
14699,0.0,0.0
33368,0.0,0.0
3719,0.0,0.0
1237,0.0,0.0
35752,1.0,0.0
5317,0.0,0.0
26279,0.0,0.0
34767,0.0,0.0
33154,1.0,0.0
295,0.0,0.0
40017,0.0,0.0
35657,0.0,0.0
38147,0.0,0.0
35182,0.0,0.0
6692,0.0,0.0
12194,0.0,0.0
33878,0.0,0.0
7349,0.0,0.0
7025,0.0,0.0
38484,0.0,0.0
13779,0.0,0.0
6730,0.0,0.0
34653,0.0,0.0
8482,0.0,0.0
17809,0.0,0.0
15650,0.0,0.0
39428,0.0,0.0
21430,0.0,0.0
39392,1.0,0.0
21723,0.0,0.0
37808,0.0,0.0
1007,1.0,0.0
9888,0.0,0.0
20260,0.0,0.0
16977,0.0,0.0
15811,0.0,0.0
1074,0.0,0.0
1067,0.0,0.0
35192,0.0,0.0
40064,0.0,0.0
20971,1.0,0.0
23113,0.0,0.0
11108,0.0,0.0
20724,0.0,0.0
6237,0.0,0.0
20660,0.0,0.0
10314,0.0,0.0
19832,0.0,0.0
27929,0.0,0.0
29824,0.0,0.0
17071,0.0,0.0
32466,0.0,0.0
16770,0.0,0.0
40571,1.0,0.0
22305,0.0,0.0
18777,0.0,0.0
14239,1.0,0.0
15346,0.0,0.0
735,0.0,0.0
28837,0.0,0.0
33686,0.0,0.0
2793,0.0,0.0
18023,1.0,0.0
35122,0.0,0.0
18020,0.0,0.0
27129,0.0,0.0
25579,0.0,0.0
8222,0.0,0.0
31807,0.0,0.0
37404,0.0,0.0
20892,0.0,0.0
18365,0.0,0.0
17746,0.0,0.0
6137,0.0,0.0
19465,0.0,0.0
4855,0.0,0.0
10165,0.0,0.0
17556,0.0,0.0
17131,1.0,0.0
9647,0.0,0.0
2004,0.0,0.0
8575,0.0,0.0
10858,0.0,0.0
30848,0.0,0.0
15089,0.0,0.0
32342,0.0,0.0
32330,0.0,0.0
15217,0.0,0.0
30739,0.0,0.0
23089,0.0,0.0
8802,0.0,0.0
16232,0.0,0.0
37444,0.0,0.0
8209,0.0,0.0
31573,0.0,0.0
2931,0.0,0.0
13905,0.0,0.0
3858,0.0,0.0
3415,0.0,0.0
24248,0.0,0.0
31630,0.0,0.0
29210,0.0,0.0
39656,0.0,0.0
34300,0.0,0.0
5435,0.0,0.0
28463,0.0,0.0
28322,0.0,0.0
25556,0.0,0.0
33405,0.0,0.0
41072,0.0,0.0
7920,0.0,0.0
23026,0.0,0.0
20069,0.0,0.0
3578,1.0,0.0
6785,0.0,0.0
39066,0.0,0.0
26465,0.0,0.0
27493,0.0,0.0
3335,0.0,0.0
39935,0.0,0.0
25717,0.0,0.0
40885,0.0,0.0
30154,0.0,0.0
22531,0.0,0.0
27136,1.0,0.0
41120,0.0,0.0
22309,0.0,0.0
32164,0.0,0.0
9677,0.0,0.0
1026,0.0,0.0
36205,0.0,0.0
20307,0.0,0.0
31757,0.0,0.0
11859,0.0,0.0
38098,1.0,0.0
38050,0.0,0.0
777,0.0,0.0
20976,0.0,0.0
35820,0.0,0.0
15261,1.0,0.0
8612,0.0,0.0
34028,0.0,0.0
16171,0.0,0.0
26689,0.0,0.0
17566,0.0,0.0
6809,1.0,0.0
18959,0.0,0.0
10282,1.0,1.0
429,0.0,0.0
27400,1.0,1.0
35814,0.0,0.0
4937,0.0,0.0
29646,0.0,0.0
29009,0.0,0.0
28052,1.0,0.0
9473,0.0,0.0
4062,0.0,0.0
11916,0.0,0.0
37351,0.0,0.0
21213,0.0,0.0
937,0.0,0.0
21491,0.0,0.0
39310,0.0,0.0
29090,0.0,0.0
41164,0.0,0.0
31449,0.0,0.0
30777,0.0,0.0
23284,0.0,0.0
29641,0.0,0.0
5024,0.0,0.0
13106,0.0,0.0
34798,0.0,0.0
24125,0.0,0.0
4640,0.0,0.0
26697,0.0,0.0
10110,0.0,0.0
38532,0.0,0.0
10718,0.0,0.0
10604,0.0,0.0
23521,0.0,0.0
27659,0.0,0.0
31095,0.0,0.0
8329,0.0,0.0
18787,0.0,0.0
32041,1.0,0.0
32351,1.0,1.0
38368,0.0,0.0
30541,0.0,0.0
32150,1.0,1.0
35498,0.0,1.0
20354,0.0,1.0
24845,1.0,0.0
4991,0.0,0.0
20355,0.0,0.0
30928,0.0,0.0
35432,1.0,0.0
38642,1.0,0.0
14033,0.0,0.0
39760,0.0,0.0
32692,1.0,1.0
26786,0.0,0.0
25843,0.0,0.0
5133,0.0,0.0
33934,0.0,0.0
34078,0.0,0.0
11753,0.0,0.0
14886,0.0,0.0
24156,0.0,0.0
38303,1.0,0.0
37666,0.0,0.0
4313,0.0,0.0
39682,0.0,0.0
23751,0.0,0.0
27504,0.0,0.0
31813,0.0,0.0
33063,0.0,0.0
6977,0.0,0.0
21439,0.0,0.0
40587,0.0,0.0
8930,0.0,0.0
24511,1.0,0.0
27192,0.0,0.0
19920,0.0,0.0
22394,0.0,1.0
21294,0.0,0.0
10144,0.0,0.0
22463,0.0,0.0
28129,0.0,0.0
39922,0.0,0.0
31950,0.0,0.0
4825,0.0,0.0
10026,0.0,0.0
40637,0.0,0.0
20101,0.0,0.0
29960,0.0,0.0
10957,0.0,0.0
19209,1.0,0.0
33634,0.0,0.0
20791,0.0,0.0
5646,1.0,0.0
32982,0.0,0.0
37111,0.0,0.0
7482,0.0,0.0
21276,0.0,0.0
38563,0.0,0.0
27380,0.0,0.0
16306,1.0,1.0
12855,0.0,0.0
30587,0.0,0.0
36774,0.0,0.0
27675,0.0,0.0
9665,0.0,0.0
40127,0.0,0.0
16379,0.0,0.0
15504,0.0,0.0
18628,0.0,0.0
28685,0.0,0.0
3760,0.0,0.0
38637,0.0,0.0
3380,0.0,0.0
34905,0.0,0.0
33352,0.0,0.0
34409,0.0,0.0
15192,0.0,0.0
3686,0.0,0.0
36497,1.0,0.0
18341,0.0,0.0
13386,0.0,0.0
4318,0.0,0.0
29328,0.0,0.0
25667,0.0,0.0
15660,0.0,0.0
37754,0.0,0.0
3952,0.0,0.0
38507,0.0,0.0
5976,0.0,0.0
14146,0.0,0.0
33336,0.0,1.0
28798,0.0,0.0
16660,0.0,0.0
36587,0.0,0.0
34607,0.0,0.0
15763,0.0,0.0
23397,0.0,0.0
41047,0.0,0.0
7218,0.0,0.0
27914,1.0,0.0
33823,0.0,0.0
21248,0.0,0.0
20526,0.0,0.0
27555,0.0,0.0
37134,0.0,0.0
13373,0.0,0.0
36816,0.0,0.0
29134,0.0,0.0
10115,0.0,0.0
21528,0.0,0.0
30659,0.0,0.0
22262,1.0,1.0
13504,0.0,0.0
19894,0.0,0.0
37553,0.0,0.0
27131,0.0,0.0
27165,0.0,0.0
4365,0.0,0.0
2711,0.0,0.0
2508,0.0,0.0
37051,0.0,0.0
34312,0.0,0.0
21078,0.0,0.0
28473,0.0,0.0
19861,1.0,0.0
35048,0.0,0.0
27647,0.0,0.0
39852,0.0,0.0
36268,0.0,0.0
27831,0.0,0.0
6649,0.0,0.0
29973,0.0,0.0
20626,0.0,0.0
29390,1.0,0.0
18929,0.0,0.0
36378,0.0,0.0
27436,0.0,0.0
7007,0.0,0.0
39300,0.0,0.0
31836,0.0,0.0
20916,0.0,0.0
30326,0.0,0.0
32925,0.0,0.0
16402,0.0,0.0
18399,0.0,0.0
39762,0.0,0.0
15484,0.0,0.0
20207,0.0,0.0
16201,0.0,0.0
35403,0.0,0.0
14515,0.0,0.0
23351,1.0,0.0
15455,0.0,0.0
38277,0.0,1.0
38820,0.0,0.0
26147,0.0,0.0
10520,0.0,0.0
16374,0.0,0.0
28990,0.0,0.0
18636,0.0,0.0
22984,0.0,0.0
1506,0.0,0.0
22632,0.0,0.0
34852,0.0,0.0
5551,0.0,0.0
10246,0.0,0.0
16461,0.0,0.0
8868,0.0,0.0
34757,0.0,0.0
12408,0.0,0.0
16216,0.0,0.0
10927,0.0,0.0
3478,1.0,0.0
16564,0.0,0.0
31707,0.0,0.0
35049,0.0,0.0
32581,0.0,0.0
30970,1.0,0.0
26517,0.0,0.0
22034,0.0,0.0
30602,0.0,0.0
14685,0.0,0.0
24109,0.0,0.0
21370,1.0,1.0
6392,1.0,0.0
10311,0.0,1.0
32784,0.0,0.0
6948,0.0,0.0
25718,0.0,0.0
19530,1.0,0.0
13049,0.0,0.0
32258,0.0,0.0
19680,0.0,0.0
21356,0.0,0.0
17908,0.0,0.0
18012,0.0,0.0
5739,0.0,0.0
20564,0.0,0.0
33657,0.0,0.0
31052,0.0,0.0
40385,0.0,0.0
21058,0.0,0.0
5920,1.0,1.0
1165,0.0,0.0
20223,0.0,0.0
2019,0.0,0.0
23912,1.0,0.0
1765,1.0,1.0
10288,0.0,0.0
4056,0.0,0.0
35423,0.0,0.0
1402,0.0,0.0
1694,0.0,0.0
39745,0.0,0.0
34003,0.0,0.0
31100,0.0,0.0
20425,0.0,0.0
21652,0.0,0.0
30583,0.0,0.0
5063,0.0,0.0
954,0.0,0.0
20605,0.0,0.0
20239,0.0,0.0
34587,0.0,0.0
5262,0.0,0.0
6826,0.0,0.0
31360,0.0,0.0
13262,0.0,0.0
21635,0.0,0.0
37595,0.0,0.0
31696,0.0,0.0
2331,0.0,0.0
40756,0.0,0.0
21574,0.0,0.0
36628,0.0,0.0
14240,0.0,1.0
17934,0.0,0.0
4413,0.0,0.0
2251,0.0,0.0
26630,0.0,0.0
4510,1.0,0.0
33988,0.0,0.0
21410,1.0,1.0
25950,0.0,0.0
37763,0.0,0.0
35622,0.0,0.0
3345,0.0,0.0
16380,1.0,0.0
28351,0.0,0.0
32179,0.0,0.0
1946,0.0,0.0
17195,0.0,0.0
21307,0.0,0.0
8316,1.0,1.0
22435,0.0,0.0
5347,0.0,0.0
5663,0.0,0.0
7597,0.0,0.0
26399,0.0,0.0
16662,0.0,0.0
8046,1.0,1.0
40011,0.0,0.0
16347,0.0,0.0
826,1.0,0.0
1990,0.0,0.0
33910,1.0,0.0
35520,0.0,0.0
38281,0.0,0.0
10626,0.0,0.0
30282,0.0,0.0
34729,0.0,0.0
18459,0.0,0.0
34220,0.0,0.0
30196,0.0,0.0
7414,0.0,0.0
7895,0.0,0.0
14232,0.0,0.0
4451,0.0,0.0
24714,0.0,0.0
9141,0.0,0.0
15489,0.0,0.0
25065,0.0,0.0
36818,0.0,0.0
26605,0.0,0.0
40389,0.0,0.0
36082,0.0,0.0
20718,0.0,0.0
18991,0.0,0.0
9332,0.0,0.0
35033,1.0,1.0
25595,1.0,0.0
4139,0.0,0.0
2581,0.0,0.0
19540,0.0,0.0
6217,0.0,0.0
26483,0.0,0.0
32919,0.0,1.0
35340,0.0,0.0
30338,0.0,0.0
18112,1.0,0.0
38844,0.0,0.0
29726,1.0,0.0
2634,0.0,0.0
6682,0.0,0.0
15992,0.0,0.0
31953,0.0,0.0
20658,0.0,0.0
39405,0.0,0.0
15639,0.0,0.0
21461,0.0,0.0
2567,0.0,0.0
32225,0.0,0.0
23197,0.0,0.0
15525,0.0,0.0
8470,0.0,0.0
28820,0.0,0.0
4637,0.0,0.0
35345,0.0,0.0
13091,1.0,1.0
35326,0.0,0.0
14170,0.0,0.0
3103,0.0,0.0
24100,0.0,0.0
27505,0.0,0.0
22094,0.0,0.0
1166,0.0,0.0
10943,0.0,0.0
29301,0.0,0.0
27105,0.0,0.0
19385,0.0,0.0
34749,0.0,0.0
40827,0.0,0.0
28854,0.0,0.0
19581,0.0,0.0
35420,0.0,0.0
28008,0.0,0.0
35828,0.0,0.0
28396,0.0,0.0
18917,0.0,0.0
26359,0.0,0.0
9313,0.0,0.0
3085,0.0,0.0
36433,0.0,0.0
28007,0.0,0.0
19167,0.0,0.0
10645,0.0,0.0
24644,0.0,0.0
28893,0.0,0.0
21492,0.0,0.0
38753,0.0,0.0
38199,0.0,1.0
10403,0.0,0.0
1801,0.0,0.0
583,0.0,0.0
21500,0.0,0.0
10956,0.0,0.0
20495,0.0,0.0
9301,0.0,0.0
703,0.0,0.0
35726,0.0,0.0
14017,1.0,0.0
18327,1.0,0.0
32631,0.0,0.0
8277,0.0,0.0
10397,0.0,0.0
21689,0.0,0.0
14117,1.0,0.0
40019,0.0,0.0
34821,1.0,0.0
26999,0.0,0.0
5710,0.0,0.0
31605,0.0,0.0
9044,0.0,0.0
39733,1.0,1.0
4628,0.0,0.0
34962,0.0,0.0
34690,0.0,0.0
216,0.0,0.0
27860,0.0,0.0
39207,0.0,0.0
24770,0.0,0.0
17046,0.0,0.0
40743,0.0,0.0
36459,0.0,0.0
31237,0.0,0.0
36028,0.0,0.0
8416,0.0,0.0
24512,0.0,0.0
24332,1.0,0.0
17678,0.0,0.0
15300,0.0,0.0
36232,0.0,0.0
3157,0.0,0.0
16929,0.0,0.0
21617,1.0,0.0
11008,0.0,0.0
28864,0.0,0.0
13284,0.0,0.0
27736,0.0,0.0
12450,0.0,0.0
16163,0.0,0.0
31674,1.0,0.0
34229,0.0,0.0
25569,0.0,0.0
696,0.0,0.0
17910,0.0,0.0
34543,0.0,0.0
38998,0.0,0.0
25955,0.0,0.0
25344,0.0,0.0
32713,0.0,0.0
4237,0.0,0.0
32855,0.0,0.0
35208,0.0,0.0
21328,0.0,0.0
21832,0.0,0.0
10152,0.0,0.0
29656,0.0,0.0
39869,0.0,0.0
3382,0.0,0.0
38493,0.0,0.0
22817,0.0,0.0
23383,0.0,0.0
23653,0.0,0.0
16358,0.0,0.0
25682,1.0,1.0
9279,0.0,0.0
25634,0.0,0.0
33247,0.0,0.0
34515,0.0,0.0
26515,0.0,0.0
31271,0.0,0.0
26666,0.0,0.0
37962,0.0,0.0
29265,1.0,0.0
33824,0.0,0.0
690,1.0,0.0
11301,0.0,1.0
28496,0.0,0.0
406,0.0,0.0
24117,0.0,0.0
29931,0.0,0.0
12147,1.0,0.0
7342,0.0,0.0
2839,0.0,0.0
10005,0.0,0.0
16275,0.0,0.0
26361,0.0,0.0
16955,1.0,0.0
12314,0.0,0.0
24972,0.0,0.0
28701,0.0,0.0
24821,0.0,0.0
34012,0.0,0.0
19938,0.0,0.0
41173,0.0,0.0
11597,0.0,0.0
12033,0.0,0.0
29357,0.0,0.0
25150,0.0,0.0
34676,0.0,0.0
24466,0.0,0.0
35735,1.0,0.0
39211,0.0,0.0
20638,0.0,0.0
27202,0.0,0.0
23107,0.0,0.0
28173,0.0,0.0
6333,0.0,0.0
16581,0.0,0.0
41178,1.0,0.0
28907,0.0,0.0
15601,0.0,0.0
8775,0.0,0.0
26728,0.0,0.0
11005,0.0,0.0
4129,0.0,0.0
25426,1.0,0.0
12296,0.0,0.0
1927,1.0,0.0
29123,1.0,1.0
32092,0.0,0.0
10117,0.0,0.0
28312,0.0,0.0
9211,0.0,0.0
10572,0.0,0.0
23732,0.0,0.0
37281,0.0,0.0
41099,0.0,0.0
3861,0.0,0.0
11053,0.0,0.0
5948,0.0,0.0
37023,0.0,0.0
9788,0.0,0.0
32139,0.0,0.0
3403,0.0,0.0
3432,0.0,0.0
26564,0.0,0.0
37837,0.0,0.0
33994,1.0,0.0
7210,0.0,0.0
14364,0.0,0.0
10425,0.0,0.0
38391,0.0,0.0
9720,1.0,0.0
33475,1.0,0.0
19546,0.0,0.0
35373,0.0,0.0
12223,0.0,0.0
2895,0.0,0.0
32534,0.0,0.0
19566,0.0,0.0
13845,1.0,0.0
20509,0.0,0.0
38151,0.0,0.0
20247,0.0,0.0
35217,1.0,0.0
36154,0.0,0.0
31175,0.0,0.0
26554,1.0,0.0
14268,0.0,0.0
31777,0.0,0.0
40836,0.0,0.0
19390,0.0,0.0
28723,0.0,0.0
1992,0.0,0.0
33473,0.0,0.0
19819,0.0,0.0
14960,0.0,0.0
7473,0.0,0.0
5211,0.0,1.0
23219,0.0,0.0
2728,0.0,1.0
1136,0.0,0.0
32561,0.0,0.0
2623,0.0,0.0
21392,0.0,0.0
38353,0.0,0.0
3913,0.0,0.0
17758,0.0,0.0
38407,0.0,0.0
8213,0.0,0.0
24450,0.0,0.0
12086,0.0,0.0
29632,0.0,0.0
33719,0.0,0.0
19428,0.0,0.0
34100,0.0,0.0
25872,0.0,0.0
11201,1.0,0.0
21825,0.0,0.0
24375,0.0,0.0
27178,0.0,0.0
20973,0.0,0.0
8173,0.0,0.0
37299,0.0,0.0
20987,0.0,0.0
34111,0.0,0.0
16180,0.0,0.0
30823,0.0,0.0
10653,0.0,0.0
3551,0.0,0.0
27298,0.0,0.0
29018,0.0,0.0
17001,0.0,0.0
39999,0.0,0.0
11748,0.0,0.0
18825,1.0,0.0
39103,0.0,0.0
20762,1.0,1.0
28996,0.0,0.0
37194,0.0,0.0
10448,0.0,0.0
37109,1.0,0.0
33427,0.0,0.0
34759,0.0,0.0
187,0.0,0.0
14700,0.0,0.0
10371,0.0,0.0
35491,1.0,0.0
22938,0.0,0.0
9971,0.0,0.0
13555,0.0,0.0
22887,0.0,0.0
35409,0.0,0.0
11251,0.0,0.0
39036,0.0,0.0
7701,0.0,0.0
5745,0.0,0.0
27611,0.0,0.0
14322,0.0,0.0
19497,0.0,0.0
897,0.0,0.0
6798,0.0,0.0
38471,0.0,0.0
20389,0.0,0.0
37175,0.0,0.0
34301,0.0,0.0
23579,0.0,0.0
8002,0.0,0.0
18487,1.0,0.0
32764,0.0,0.0
5488,0.0,0.0
25107,0.0,0.0
28913,1.0,0.0
14320,0.0,0.0
39024,0.0,0.0
40484,0.0,0.0
32819,0.0,0.0
16949,0.0,0.0
26170,0.0,0.0
12863,0.0,0.0
29974,0.0,0.0
30427,0.0,0.0
5661,0.0,0.0
21371,1.0,1.0
39950,0.0,0.0
28120,0.0,0.0
6110,0.0,0.0
39585,0.0,0.0
26358,0.0,0.0
3281,0.0,0.0
23787,0.0,0.0
15675,1.0,0.0
40080,0.0,0.0
37557,0.0,0.0
24181,0.0,0.0
14530,0.0,0.0
16850,0.0,0.0
16728,0.0,0.0
8937,0.0,0.0
25333,0.0,0.0
22912,0.0,0.0
15712,0.0,0.0
7066,0.0,0.0
151,0.0,0.0
17719,0.0,0.0
13254,0.0,0.0
34293,0.0,0.0
4334,0.0,0.0
1584,0.0,0.0
14832,0.0,0.0
38590,1.0,0.0
38061,0.0,0.0
40842,0.0,0.0
38176,0.0,0.0
29984,0.0,0.0
29016,0.0,0.0
28793,0.0,0.0
38975,0.0,0.0
12825,0.0,0.0
11693,0.0,0.0
38404,0.0,0.0
32142,0.0,0.0
14544,0.0,0.0
18369,0.0,0.0
28094,0.0,0.0
15530,0.0,0.0
13194,0.0,0.0
22350,0.0,0.0
662,0.0,0.0
38190,0.0,0.0
16903,0.0,0.0
27513,0.0,0.0
26705,0.0,0.0
23920,0.0,0.0
10769,0.0,0.0
2293,0.0,0.0
5517,0.0,0.0
29708,0.0,0.0
8397,0.0,0.0
2288,0.0,0.0
12908,0.0,0.0
38468,0.0,0.0
19593,0.0,0.0
11258,0.0,0.0
16519,0.0,0.0
19194,0.0,0.0
31542,1.0,0.0
21690,0.0,0.0
38346,0.0,0.0
31228,0.0,0.0
20336,0.0,0.0
3015,0.0,0.0
7275,0.0,0.0
9773,0.0,0.0
11455,0.0,0.0
34866,0.0,0.0
13800,1.0,0.0
26263,0.0,0.0
2616,0.0,0.0
18309,0.0,0.0
32020,0.0,0.0
4662,0.0,0.0
10233,0.0,0.0
29228,0.0,0.0
16661,0.0,0.0
37752,0.0,0.0
37230,0.0,0.0
12606,0.0,0.0
25987,0.0,0.0
8366,0.0,0.0
31616,0.0,0.0
759,1.0,1.0
14600,0.0,0.0
41155,0.0,0.0
36196,0.0,0.0
21419,1.0,0.0
